cidade,area,quartos,banheiro,garagens,andar,animal,mobilia,condominio_reais,iptu,seguro_incendio
São Paulo,298,3,4,3,-,acept,furnished,0,1284,221
São Paulo,120,3,3,1,5,acept,not furnished,1656,189,39
Campinas,85,3,2,1,7,acept,not furnished,915,63,20
São Paulo,70,3,2,1,3,acept,not furnished,380,92,17
Belo Horizonte,450,5,5,3,-,acept,not furnished,0,542,107
Porto Alegre,40,1,1,1,8,acept,not furnished,500,50,33
São Paulo,350,4,3,4,10,acept,not furnished,1600,959,96
Campinas,36,1,1,0,4,not acept,not furnished,300,10,7
São Paulo,40,1,1,0,1,acept,not furnished,0,56,13
São Paulo,200,4,3,3,14,not acept,not furnished,2400,0,82
São Paulo,115,4,3,4,1,acept,furnished,1133,0,89
São Paulo,50,1,1,0,-,not acept,not furnished,0,0,12
São Paulo,186,4,2,2,2,acept,not furnished,1500,0,32
Belo Horizonte,73,3,1,0,1,acept,not furnished,200,38,12
São Paulo,194,4,3,2,7,acept,not furnished,2600,643,38
São Paulo,70,2,1,1,1,acept,not furnished,280,138,13
Porto Alegre,69,2,2,2,10,acept,not furnished,670,158,37
Belo Horizonte,50,1,1,2,4,acept,not furnished,300,0,16
São Paulo,18,1,1,0,-,acept,not furnished,0,0,22
Belo Horizonte,400,4,4,4,-,acept,not furnished,0,320,81
Porto Alegre,140,3,3,0,2,acept,not furnished,750,125,25
São Paulo,161,3,5,3,12,acept,not furnished,2541,567,83
São Paulo,100,2,1,1,-,not acept,not furnished,0,0,22
Porto Alegre,70,2,1,0,3,acept,not furnished,350,49,20
São Paulo,220,3,4,3,2,not acept,not furnished,2500,1250,66
São Paulo,50,1,1,0,-,not acept,not furnished,0,0,12
Belo Horizonte,300,5,3,4,-,acept,not furnished,0,0,99
São Paulo,70,2,1,0,-,acept,not furnished,0,123,35
São Paulo,285,4,4,4,17,acept,not furnished,3100,973,191
São Paulo,500,3,6,0,-,acept,not furnished,0,1667,97
Rio de Janeiro,80,2,1,0,3,not acept,not furnished,450,0,15
São Paulo,90,3,3,1,11,acept,not furnished,1347,241,59
Belo Horizonte,80,2,1,1,3,not acept,not furnished,240,67,16
São Paulo,47,1,1,0,-,not acept,not furnished,100,76,13
Belo Horizonte,120,4,3,2,2,acept,not furnished,0,0,44
Belo Horizonte,506,4,5,0,-,acept,not furnished,0,452,132
São Paulo,90,2,1,0,-,acept,not furnished,0,280,28
São Paulo,31,1,1,0,6,acept,furnished,430,0,30
São Paulo,299,4,5,4,8,acept,not furnished,3103,1096,80
São Paulo,45,2,1,1,6,not acept,not furnished,240,30,19
Campinas,109,4,3,2,6,not acept,not furnished,890,261,30
Belo Horizonte,68,3,2,1,1,acept,furnished,360,95,30
São Paulo,180,3,2,2,6,acept,not furnished,2192,413,51
São Paulo,150,3,3,2,3,not acept,not furnished,2100,499,46
São Paulo,90,3,1,2,6,acept,not furnished,1250,300,52
São Paulo,187,3,2,3,-,not acept,furnished,1700,584,127
Porto Alegre,36,2,1,1,2,acept,not furnished,370,75,20
São Paulo,54,1,1,0,8,acept,furnished,500,0,51
São Paulo,252,4,5,5,18,acept,furnished,3100,1750,159
Belo Horizonte,55,2,1,1,1,not acept,not furnished,180,0,12
Campinas,103,3,2,1,9,not acept,not furnished,885,113,23
São Paulo,131,3,2,2,6,not acept,furnished,1400,534,39
Rio de Janeiro,65,2,1,1,8,acept,not furnished,610,88,12
São Paulo,60,1,1,0,-,acept,not furnished,0,0,13
São Paulo,96,3,3,2,5,acept,not furnished,855,486,47
São Paulo,139,3,2,0,7,acept,not furnished,1250,103,102
Belo Horizonte,55,2,1,1,4,acept,not furnished,190,67,8
São Paulo,250,4,3,2,-,not acept,not furnished,0,0,151
São Paulo,43,1,1,0,6,acept,not furnished,219,42,6
São Paulo,73,3,2,3,2,acept,not furnished,1100,155,16
São Paulo,88,2,4,2,8,acept,not furnished,840,379,30
Porto Alegre,94,1,1,1,2,acept,not furnished,700,250,71
São Paulo,33,1,1,0,1,not acept,not furnished,250,0,17
São Paulo,70,2,1,0,-,acept,not furnished,0,0,24
São Paulo,120,3,4,3,4,acept,not furnished,1300,289,57
Rio de Janeiro,46,1,1,0,5,acept,furnished,380,196,16
São Paulo,80,2,1,1,2,not acept,furnished,1036,98,95
Campinas,233,3,1,1,-,acept,not furnished,0,239,41
São Paulo,76,2,2,1,6,not acept,not furnished,500,5,18
Belo Horizonte,85,3,2,1,2,not acept,not furnished,450,85,20
Belo Horizonte,110,4,2,0,-,acept,not furnished,0,0,31
São Paulo,50,2,1,1,1,acept,not furnished,496,0,16
Porto Alegre,222,3,2,2,3,not acept,furnished,770,350,75
Belo Horizonte,340,3,5,5,-,acept,not furnished,0,211,76
Porto Alegre,65,3,1,1,1,acept,not furnished,400,31,13
São Paulo,85,2,1,1,1,not acept,not furnished,539,74,16
São Paulo,201,3,5,3,2,not acept,furnished,2550,795,127
Porto Alegre,48,1,1,0,4,acept,not furnished,340,300,11
São Paulo,50,2,1,1,4,acept,not furnished,540,133,24
Porto Alegre,60,2,1,1,1,acept,furnished,400,25,19
São Paulo,56,2,2,1,2,not acept,not furnished,542,131,20
Campinas,55,1,1,1,1,not acept,not furnished,600,0,29
São Paulo,63,2,2,1,6,acept,not furnished,650,9,24
São Paulo,376,3,3,2,-,acept,not furnished,0,300,28
Rio de Janeiro,62,2,1,0,3,acept,not furnished,605,197,16
São Paulo,118,3,2,1,11,not acept,not furnished,1116,185,61
São Paulo,129,2,3,2,16,acept,furnished,1100,334,38
São Paulo,54,2,1,1,-,acept,not furnished,480,7,16
São Paulo,126,3,2,2,18,not acept,not furnished,990,0,21
Campinas,120,3,1,2,1,acept,not furnished,150,150,23
São Paulo,211,3,5,3,12,acept,furnished,2500,750,89
São Paulo,260,4,4,6,22,acept,furnished,2480,1167,70
São Paulo,270,4,5,6,-,acept,not furnished,0,400,166
Porto Alegre,650,4,6,5,-,acept,furnished,0,650,246
São Paulo,266,4,5,4,7,acept,not furnished,2900,1167,139
Campinas,80,3,2,1,3,acept,not furnished,430,74,16
São Paulo,49,1,1,0,-,not acept,not furnished,0,0,21
Belo Horizonte,42,1,1,1,17,not acept,furnished,470,172,36
Campinas,50,1,1,0,8,acept,not furnished,300,0,3
São Paulo,50,2,2,2,6,acept,furnished,1720,0,90
Belo Horizonte,15,1,1,0,3,not acept,furnished,0,0,15
São Paulo,90,3,2,2,5,acept,not furnished,1478,355,32
Rio de Janeiro,90,2,2,1,9,acept,furnished,1105,208,29
Campinas,70,2,2,1,-,acept,not furnished,0,44,22
São Paulo,70,2,2,4,-,acept,not furnished,0,190,46
Rio de Janeiro,90,2,2,1,4,acept,not furnished,1660,350,14
Campinas,67,3,1,1,1,not acept,not furnished,351,40,12
Porto Alegre,90,3,2,2,9,acept,not furnished,433,116,41
São Paulo,198,3,3,6,-,acept,furnished,0,250,64
Rio de Janeiro,75,2,2,1,12,acept,not furnished,798,0,12
Porto Alegre,350,4,4,4,-,acept,furnished,1,359,160
Belo Horizonte,300,4,4,4,4,acept,not furnished,2200,1114,134
São Paulo,30,1,1,1,9,not acept,not furnished,0,0,39
São Paulo,124,3,2,3,7,acept,not furnished,1450,300,84
São Paulo,45,2,1,1,25,not acept,not furnished,375,0,23
Porto Alegre,55,1,1,1,6,acept,not furnished,450,45,14
São Paulo,155,3,3,2,-,acept,not furnished,0,233,40
Belo Horizonte,180,6,4,6,-,acept,not furnished,0,209,91
São Paulo,260,5,4,4,12,acept,not furnished,3400,1400,140
Campinas,48,2,1,1,4,acept,not furnished,243,0,11
São Paulo,125,2,2,1,-,acept,not furnished,0,55,24
São Paulo,160,2,3,2,12,acept,furnished,1500,225,54
Rio de Janeiro,75,2,1,0,4,acept,not furnished,440,0,16
São Paulo,80,2,1,0,11,not acept,not furnished,600,0,25
Porto Alegre,77,3,2,1,2,not acept,not furnished,284,20,19
São Paulo,60,2,1,0,3,acept,not furnished,400,0,13
São Paulo,60,1,1,1,-,not acept,not furnished,0,0,18
Rio de Janeiro,102,3,2,0,12,not acept,not furnished,900,380,40
Belo Horizonte,46,2,1,1,2,acept,not furnished,300,62,12
São Paulo,80,1,1,0,-,acept,not furnished,0,60,25
Rio de Janeiro,145,3,3,0,5,acept,not furnished,1000,285,58
São Paulo,103,3,3,0,6,acept,not furnished,1530,320,77
Rio de Janeiro,280,3,3,1,4,acept,not furnished,1400,14,29
São Paulo,240,4,4,4,5,acept,not furnished,2700,1667,203
Porto Alegre,38,1,1,0,2,acept,not furnished,335,43,12
São Paulo,216,3,4,4,7,acept,furnished,2300,900,191
Campinas,900,3,6,8,-,acept,not furnished,2000,1834,226
Campinas,154,3,3,1,14,not acept,not furnished,1700,0,83
São Paulo,50,2,1,1,13,acept,not furnished,650,4,17
Porto Alegre,38,1,1,0,1,acept,not furnished,300,34,13
Campinas,90,2,1,0,-,not acept,not furnished,0,105,26
São Paulo,48,1,1,0,9,not acept,furnished,377,0,44
Porto Alegre,41,1,2,1,6,acept,not furnished,400,67,36
Campinas,47,1,1,0,2,acept,not furnished,400,72,22
Belo Horizonte,70,2,1,1,-,acept,furnished,0,0,23
São Paulo,16,1,1,0,-,not acept,not furnished,0,0,18
São Paulo,250,3,2,2,-,acept,not furnished,0,459,226
São Paulo,130,3,2,2,1,not acept,not furnished,1324,571,42
São Paulo,120,3,4,1,-,not acept,not furnished,0,4,61
São Paulo,100,2,1,2,-,acept,not furnished,0,0,25
Belo Horizonte,140,4,3,1,2,acept,not furnished,475,167,31
Belo Horizonte,365,4,4,3,8,acept,furnished,3500,459,118
Rio de Janeiro,70,2,2,1,1,acept,furnished,950,225,46
São Paulo,86,2,1,1,-,acept,not furnished,0,110,34
São Paulo,35,3,2,0,-,acept,not furnished,0,84,25
São Paulo,230,3,3,0,9,acept,furnished,1700,109,64
São Paulo,93,3,3,2,7,acept,furnished,1230,359,48
Belo Horizonte,682,6,7,6,-,acept,not furnished,0,428,91
Campinas,180,2,1,0,-,acept,not furnished,0,15,31
São Paulo,104,3,3,2,8,not acept,not furnished,1400,350,51
Rio de Janeiro,47,2,2,1,12,acept,not furnished,500,40,13
Rio de Janeiro,65,1,1,1,8,acept,furnished,2000,250,66
São Paulo,55,2,2,2,6,acept,not furnished,780,142,14
São Paulo,70,2,1,1,13,acept,not furnished,761,67,28
São Paulo,25,1,1,1,4,not acept,furnished,1449,700,39
São Paulo,72,2,1,0,14,acept,not furnished,600,0,33
Campinas,68,2,1,1,1,acept,not furnished,400,70,20
São Paulo,45,1,1,0,-,not acept,not furnished,0,34,16
Belo Horizonte,180,4,1,3,-,acept,not furnished,0,180,97
São Paulo,350,3,5,4,13,acept,not furnished,4000,1750,45
São Paulo,396,4,5,7,-,acept,not furnished,0,534,83
Porto Alegre,49,2,1,0,4,acept,not furnished,250,15,25
Belo Horizonte,230,4,5,4,3,acept,not furnished,2300,1262,124
Rio de Janeiro,40,1,1,0,7,not acept,not furnished,2000,35,29
Porto Alegre,18,1,1,0,15,acept,furnished,360,10,13
Rio de Janeiro,25,1,1,0,1,acept,not furnished,400,67,26
Campinas,96,3,2,2,10,acept,not furnished,800,189,41
São Paulo,64,1,2,1,15,acept,furnished,650,154,64
São Paulo,250,4,4,4,14,acept,not furnished,2600,0,46
São Paulo,56,1,1,0,2,acept,furnished,0,280,102
Porto Alegre,160,3,2,3,4,acept,furnished,850,220,49
São Paulo,270,3,4,2,6,acept,not furnished,2890,100,83
São Paulo,100,3,2,0,7,acept,not furnished,750,132,26
Campinas,170,2,3,3,16,acept,not furnished,1350,167,75
Belo Horizonte,75,3,1,1,4,acept,not furnished,280,66,20
Rio de Janeiro,200,3,2,2,3,acept,not furnished,1650,750,194
São Paulo,78,3,2,2,-,acept,not furnished,250,292,31
São Paulo,72,2,2,1,4,acept,not furnished,880,27,27
São Paulo,255,3,4,2,10,acept,furnished,2600,500,77
São Paulo,500,7,7,8,-,not acept,furnished,0,1667,136
Campinas,150,4,5,2,1,acept,not furnished,1100,360,37
São Paulo,178,4,2,5,-,acept,not furnished,0,459,91
São Paulo,42,1,1,1,2,acept,not furnished,700,160,9
Belo Horizonte,75,2,1,2,-,acept,not furnished,0,63,25
São Paulo,160,3,3,3,-,not acept,not furnished,1509,528,88
Campinas,40,1,1,0,8,acept,not furnished,380,11,10
Belo Horizonte,25,1,1,1,1,not acept,not furnished,0,84,8
São Paulo,262,3,5,3,4,acept,not furnished,2130,1000,71
São Paulo,208,3,3,3,4,acept,furnished,2490,1200,191
São Paulo,210,3,4,3,6,acept,not furnished,3900,1417,165
São Paulo,135,2,2,1,12,acept,not furnished,1313,343,111
Rio de Janeiro,20,1,1,0,2,acept,not furnished,0,0,8
São Paulo,65,2,1,0,4,acept,not furnished,1261,166,19
Rio de Janeiro,140,4,2,1,1,not acept,not furnished,1700,380,78
São Paulo,200,3,3,1,5,acept,not furnished,1750,167,41
Rio de Janeiro,266,4,4,2,4,acept,not furnished,1704,659,63
São Paulo,236,4,5,4,7,acept,not furnished,3500,1834,127
Rio de Janeiro,52,1,1,1,3,acept,furnished,584,117,31
Porto Alegre,27,1,1,0,2,acept,not furnished,100,75,15
Rio de Janeiro,80,2,2,1,12,not acept,not furnished,580,226,9
São Paulo,100,2,2,1,-,acept,not furnished,0,0,30
São Paulo,60,3,1,1,4,acept,not furnished,500,0,19
Campinas,35,1,1,1,-,not acept,furnished,0,0,16
São Paulo,62,3,2,1,5,acept,not furnished,487,54,31
São Paulo,524,4,5,3,-,acept,furnished,0,1167,167
São Paulo,325,3,5,0,3,acept,furnished,4285,2049,74
Campinas,350,4,5,4,-,acept,not furnished,680,417,121
São Paulo,56,2,2,1,4,acept,not furnished,500,0,26
São Paulo,270,6,3,6,-,acept,not furnished,0,417,68
São Paulo,230,3,5,3,3,not acept,not furnished,3800,1100,140
São Paulo,22,1,1,0,-,not acept,not furnished,0,0,14
Rio de Janeiro,75,2,1,1,6,not acept,not furnished,379,69,8
Rio de Janeiro,123,3,2,1,1,acept,not furnished,2800,237,48
Porto Alegre,109,3,1,1,5,acept,not furnished,500,42,21
Belo Horizonte,344,4,4,3,-,not acept,not furnished,0,121,58
São Paulo,51,1,1,0,32,not acept,not furnished,429,37,42
Porto Alegre,43,2,1,0,6,not acept,not furnished,382,42,23
São Paulo,170,3,2,1,5,acept,not furnished,860,110,83
São Paulo,400,3,3,4,-,acept,not furnished,0,300,211
Rio de Janeiro,104,3,2,2,4,acept,furnished,1549,337,91
Rio de Janeiro,60,1,2,0,10,acept,furnished,430,50,29
Belo Horizonte,48,2,1,1,2,acept,not furnished,170,12,19
Belo Horizonte,230,3,3,3,5,acept,not furnished,700,408,54
São Paulo,78,1,1,2,8,not acept,furnished,1980,317,77
Rio de Janeiro,40,1,1,0,1,acept,not furnished,379,0,16
Campinas,194,3,2,3,-,acept,not furnished,0,75,53
Porto Alegre,60,1,1,0,1,acept,not furnished,230,70,19
Campinas,43,1,1,1,5,acept,not furnished,518,45,12
Belo Horizonte,45,1,1,1,6,acept,not furnished,808,9,39
Rio de Janeiro,40,1,1,0,3,acept,not furnished,262,0,10
Belo Horizonte,600,5,6,8,-,acept,furnished,0,642,173
São Paulo,225,4,2,2,11,acept,not furnished,2150,642,83
São Paulo,250,3,4,2,16,acept,not furnished,3300,517,77
São Paulo,250,3,4,3,8,acept,not furnished,2850,834,115
São Paulo,100,2,1,0,-,not acept,not furnished,0,125,76
Belo Horizonte,209,4,4,4,11,acept,not furnished,2140,587,98
São Paulo,500,4,5,4,-,not acept,furnished,0,2087,192
São Paulo,500,7,4,3,-,acept,furnished,0,785,211
São Paulo,45,1,1,0,11,not acept,not furnished,413,81,49
Rio de Janeiro,30,1,1,0,5,not acept,not furnished,1100,85,7
Rio de Janeiro,82,2,2,1,4,acept,not furnished,1900,334,31
São Paulo,43,1,1,0,13,acept,not furnished,250,0,22
São Paulo,139,3,4,2,12,not acept,furnished,1350,500,140
São Paulo,67,2,1,1,2,acept,furnished,814,91,17
São Paulo,77,2,1,1,14,acept,not furnished,980,18,58
São Paulo,43,1,1,0,5,acept,furnished,1195,220,9
São Paulo,246,3,4,4,9,acept,furnished,3350,1480,127
São Paulo,199,2,3,3,1,not acept,furnished,2000,725,159
São Paulo,250,3,4,2,-,acept,not furnished,0,75,91
Rio de Janeiro,25,1,1,0,-,acept,not furnished,50,0,10
Belo Horizonte,327,4,4,2,-,acept,not furnished,0,563,145
Rio de Janeiro,35,1,1,0,6,acept,not furnished,480,0,13
Belo Horizonte,180,3,3,2,1,acept,not furnished,1500,267,40
São Paulo,80,2,1,1,2,not acept,not furnished,315,0,28
Campinas,650,4,6,4,-,acept,not furnished,760,1042,196
Porto Alegre,47,1,1,1,1,not acept,furnished,400,0,33
São Paulo,98,3,2,2,1,acept,not furnished,1400,383,23
São Paulo,65,2,2,1,4,acept,furnished,730,83,23
Rio de Janeiro,70,1,1,0,9,not acept,furnished,776,77,44
Campinas,96,3,2,2,6,acept,furnished,750,138,44
Porto Alegre,145,3,4,0,2,acept,furnished,250,75,44
Belo Horizonte,32,1,1,1,1,acept,not furnished,60,67,12
Campinas,65,3,2,1,2,not acept,not furnished,620,60,14
Porto Alegre,67,2,2,1,8,acept,not furnished,300,0,25
São Paulo,270,4,4,4,8,acept,not furnished,2200,1500,89
São Paulo,46,1,1,1,7,acept,not furnished,450,0,31
São Paulo,290,3,4,3,7,acept,furnished,3900,1834,112
Porto Alegre,40,1,1,0,-,acept,not furnished,390,0,8
São Paulo,850,4,4,8,-,acept,not furnished,0,5834,181
Campinas,308,3,3,4,-,acept,not furnished,0,673,71
Rio de Janeiro,40,2,1,0,2,acept,not furnished,480,84,18
São Paulo,170,3,5,3,7,acept,furnished,1750,600,36
Porto Alegre,72,2,2,2,12,acept,not furnished,500,56,31
Rio de Janeiro,68,2,1,1,5,acept,not furnished,660,109,12
São Paulo,63,1,1,1,9,not acept,furnished,1283,286,94
Porto Alegre,155,2,2,2,5,acept,not furnished,450,94,34
São Paulo,124,2,2,2,-,acept,furnished,0,94,109
São Paulo,210,3,3,3,17,acept,not furnished,2300,717,89
Belo Horizonte,100,3,2,2,2,acept,not furnished,340,183,22
Campinas,85,2,2,0,6,not acept,not furnished,810,98,12
Belo Horizonte,96,3,2,1,6,acept,not furnished,200,95,27
São Paulo,92,2,1,1,11,not acept,not furnished,0,0,87
São Paulo,269,4,4,5,21,acept,furnished,2980,1834,178
Rio de Janeiro,100,3,2,1,7,not acept,not furnished,1100,190,39
Porto Alegre,58,2,1,1,4,acept,not furnished,220,67,20
Porto Alegre,52,2,2,1,12,acept,not furnished,350,42,28
São Paulo,480,4,6,3,-,acept,not furnished,0,500,151
São Paulo,132,3,4,2,10,acept,not furnished,1405,317,41
Campinas,100,3,2,2,-,acept,not furnished,0,15,34
Porto Alegre,27,1,1,0,2,acept,not furnished,100,75,15
Porto Alegre,80,2,1,1,1,acept,not furnished,200,70,25
São Paulo,96,2,2,2,25,not acept,furnished,1200,0,115
Rio de Janeiro,170,4,3,4,10,acept,not furnished,1876,576,31
São Paulo,100,3,2,0,3,not acept,not furnished,800,250,26
São Paulo,240,4,3,3,10,not acept,furnished,4976,1813,191
São Paulo,60,1,1,0,-,acept,not furnished,0,34,16
Belo Horizonte,80,2,2,2,9,acept,not furnished,400,113,35
São Paulo,340,4,5,5,9,acept,not furnished,4800,1917,96
São Paulo,999,5,7,4,-,not acept,not furnished,100,459,226
Rio de Janeiro,70,2,2,1,2,acept,not furnished,1100,230,33
Belo Horizonte,50,2,1,0,-,not acept,not furnished,0,250,16
Rio de Janeiro,119,3,3,2,7,acept,not furnished,1200,129,39
Rio de Janeiro,93,2,2,0,4,not acept,furnished,1360,272,41
São Paulo,189,3,3,0,5,acept,not furnished,1950,375,52
São Paulo,202,4,4,2,7,acept,not furnished,1600,250,39
São Paulo,130,2,3,2,4,not acept,not furnished,1600,417,51
Belo Horizonte,80,2,2,1,-,not acept,not furnished,0,61,14
Rio de Janeiro,157,3,3,2,10,acept,not furnished,1620,382,49
São Paulo,50,1,1,1,8,not acept,furnished,2204,209,47
Belo Horizonte,120,3,2,2,3,not acept,not furnished,335,166,18
São Paulo,56,2,1,0,-,acept,not furnished,200,0,10
São Paulo,210,3,4,3,5,acept,furnished,4100,1000,127
Campinas,100,2,2,1,11,acept,not furnished,0,0,26
São Paulo,200,3,2,6,-,acept,not furnished,0,176,35
São Paulo,220,3,4,3,1,acept,not furnished,2750,1040,74
Belo Horizonte,105,4,3,3,5,acept,not furnished,1148,228,26
Porto Alegre,87,2,1,0,4,acept,furnished,450,75,33
Belo Horizonte,65,3,1,1,2,acept,furnished,175,0,15
Porto Alegre,45,1,1,0,6,acept,not furnished,350,28,10
São Paulo,190,4,4,2,-,not acept,not furnished,0,223,67
São Paulo,68,2,2,1,8,not acept,not furnished,600,125,31
Rio de Janeiro,140,3,3,1,24,not acept,not furnished,900,100,18
Belo Horizonte,570,5,6,7,-,acept,furnished,0,873,137
São Paulo,61,1,1,0,9,not acept,not furnished,394,0,21
São Paulo,65,2,2,1,9,acept,not furnished,748,222,36
Belo Horizonte,260,4,3,3,4,acept,furnished,2650,555,44
Rio de Janeiro,250,5,3,1,-,acept,not furnished,500,100,61
São Paulo,120,3,4,3,13,acept,not furnished,1350,560,71
São Paulo,90,2,2,0,1,not acept,not furnished,657,0,23
São Paulo,242,5,3,2,-,acept,not furnished,0,380,64
São Paulo,68,3,1,1,16,not acept,not furnished,522,0,7
Campinas,126,3,3,2,1,acept,not furnished,780,167,46
São Paulo,212,4,5,4,16,acept,not furnished,4000,834,127
São Paulo,36,1,1,0,6,acept,not furnished,300,60,21
São Paulo,100,2,3,3,-,acept,furnished,1200,250,97
São Paulo,55,2,1,1,5,acept,not furnished,640,0,21
São Paulo,66,2,1,0,7,acept,not furnished,356,0,21
São Paulo,367,4,5,6,1,not acept,not furnished,4384,2110,102
Rio de Janeiro,81,3,1,1,7,acept,not furnished,725,49,20
São Paulo,63,1,1,0,12,acept,not furnished,870,0,33
São Paulo,80,3,1,0,-,not acept,not furnished,185,0,27
São Paulo,150,3,2,1,6,not acept,not furnished,1246,0,70
São Paulo,300,3,3,3,-,acept,not furnished,0,250,53
São Paulo,33,1,1,0,18,acept,furnished,350,21,17
São Paulo,35,1,1,0,-,not acept,not furnished,0,40,12
Campinas,438,5,4,0,-,acept,not furnished,0,417,117
São Paulo,30,1,1,1,6,not acept,furnished,2400,0,45
Porto Alegre,44,1,2,0,3,acept,not furnished,140,100,20
São Paulo,70,2,1,1,2,not acept,not furnished,794,14,32
Rio de Janeiro,23,1,1,0,8,not acept,not furnished,569,25,26
São Paulo,93,2,1,1,4,not acept,furnished,985,110,70
São Paulo,47,1,1,1,3,acept,furnished,907,313,117
São Paulo,40,1,1,1,3,not acept,furnished,600,34,30
São Paulo,63,2,2,1,16,acept,not furnished,690,103,24
Belo Horizonte,840,5,6,5,-,acept,not furnished,0,511,132
Porto Alegre,90,2,1,0,2,acept,not furnished,0,21,21
São Paulo,56,2,1,0,3,acept,not furnished,250,41,23
São Paulo,106,2,1,2,-,not acept,not furnished,0,110,32
Belo Horizonte,95,3,2,1,2,acept,not furnished,300,182,31
São Paulo,86,2,1,1,12,acept,not furnished,1000,84,39
Porto Alegre,42,1,1,1,7,acept,not furnished,415,54,18
São Paulo,38,1,1,0,5,acept,not furnished,819,0,21
São Paulo,33,1,1,1,26,not acept,furnished,1500,250,26
São Paulo,97,3,1,1,2,acept,furnished,915,50,77
Campinas,37,1,1,1,2,acept,not furnished,478,0,8
São Paulo,170,3,4,0,14,acept,furnished,2200,800,51
São Paulo,33,1,1,0,3,acept,not furnished,350,0,21
Rio de Janeiro,25,1,1,0,-,not acept,not furnished,0,0,11
São Paulo,80,2,2,2,-,acept,not furnished,0,0,38
Campinas,128,3,3,2,1,acept,not furnished,1236,682,34
Belo Horizonte,318,4,2,2,-,not acept,not furnished,0,179,74
Rio de Janeiro,40,1,1,0,7,not acept,furnished,735,137,38
Porto Alegre,42,1,1,1,11,acept,not furnished,372,0,40
Campinas,62,2,1,0,-,not acept,not furnished,0,0,20
São Paulo,320,3,4,3,8,acept,not furnished,3400,1,87
São Paulo,188,3,4,1,8,acept,not furnished,2100,562,127
Rio de Janeiro,139,2,3,1,5,acept,not furnished,720,387,77
São Paulo,110,2,1,1,2,acept,not furnished,1200,137,36
São Paulo,350,4,5,4,2,acept,furnished,5000,0,191
Campinas,75,2,2,2,6,acept,not furnished,730,148,26
Belo Horizonte,50,2,1,0,5,acept,not furnished,0,100,12
São Paulo,380,5,7,4,-,acept,not furnished,0,775,121
Rio de Janeiro,170,2,3,1,2,acept,furnished,1559,225,65
Belo Horizonte,90,3,1,1,1,acept,not furnished,277,99,20
São Paulo,85,2,2,0,17,acept,furnished,560,250,43
Campinas,75,3,2,1,2,acept,not furnished,280,0,12
São Paulo,57,2,1,1,3,acept,not furnished,625,3,14
São Paulo,200,3,4,3,1,acept,not furnished,3500,1250,108
São Paulo,208,3,4,3,1,acept,not furnished,1900,1100,49
Campinas,60,1,1,1,1,acept,furnished,665,37,22
São Paulo,191,3,3,4,1,acept,furnished,2605,1299,191
Rio de Janeiro,81,2,1,0,6,acept,not furnished,800,90,21
